occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family
150311,Apatosaurus,herbivorous,sauropod,21.0,157.3,145.0,Colorado,-105.187332,39.653423,Saurischia,Diplodocidae
150350,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Wyoming,-105.916199,42.152302,Saurischia,Diplodocidae
150351,Brontosaurus,herbivorous,sauropod,22.0,157.3,145.0,Wyoming,-105.916199,42.152302,Saurischia,Diplodocidae
150354,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-105.916199,42.152302,Saurischia,
150849,Dilophosaurus,carnivorous,large theropod,6.0,199.3,182.7,Arizona,-110.32,36.145279,Saurischia,
150850,Dilophosaurus,carnivorous,large theropod,6.0,199.3,182.7,Arizona,-110.300003,36.099998,Saurischia,
219971,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Wyoming,-106.048615,42.017776,Saurischia,Diplodocidae
219972,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-106.048615,42.017776,Saurischia,
219974,Brontosaurus,herbivorous,sauropod,22.0,157.3,145.0,Wyoming,-106.048615,42.017776,Saurischia,Diplodocidae
219975,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-106.048615,42.017776,Saurischia,Allosauridae
219980,Camarasaurus,herbivorous,sauropod,23.0,155.7,150.8,Wyoming,-108.120003,43.380001,Saurischia,
219998,Tyrannosaurus,carnivorous,large theropod,12.0,83.5,70.6,Alberta,-111.525871,50.728848,Saurischia,Tyrannosauridae
220009,Tyrannosaurus,carnivorous,large theropod,12.0,83.5,70.6,Alberta,-111.524582,50.727234,Saurischia,Tyrannosauridae
220011,Velociraptor,carnivorous,small theropod,1.8,83.5,70.6,Alberta,-111.524582,50.727234,Saurischia,Dromaeosauridae
220028,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.484657,50.750553,Saurischia,Tyrannosauridae
220033,Coelophysis,carnivorous,small theropod,2.0,201.3,190.8,Matabeleland North,30.1,-16.216667,Saurischia,
220038,Kotasaurus,herbivorous,sauropod,9.0,199.3,182.7,Andhra Pradesh,79.845581,19.106924,Saurischia,
220055,Diplodocus,herbivorous,sauropod,26.0,155.7,145.0,Wyoming,-108.199997,43.630001,Saurischia,Diplodocidae
220056,Camarasaurus,herbivorous,sauropod,23.0,155.7,145.0,Wyoming,-108.199997,43.630001,Saurischia,
220058,Allosaurus,carnivorous,large theropod,12.0,155.7,145.0,Wyoming,-108.199997,43.630001,Saurischia,Allosauridae
220060,Barosaurus,herbivorous,sauropod,24.0,155.7,145.0,Wyoming,-108.199997,43.630001,Saurischia,Diplodocidae
220070,Plateosaurus,herbivorous,sauropod,7.0,228.0,208.5,Aargau,8.016667,47.5,Saurischia,Plateosauridae
220073,Liliensternus,carnivorous,small theropod,5.0,228.0,208.5,Aargau,8.016667,47.5,Saurischia,
220082,Plateosaurus,herbivorous,sauropod,7.0,228.0,208.5,Baden-Württemberg,8.65,48.066669,Saurischia,Plateosauridae
220084,Liliensternus,carnivorous,small theropod,5.0,228.0,208.5,Baden-Württemberg,8.65,48.066669,Saurischia,
220087,Liliensternus,carnivorous,small theropod,5.0,208.5,201.3,Sachsen-Anhalt,11.073611,51.897499,Saurischia,
220090,Velociraptor,carnivorous,small theropod,1.8,83.5,70.6,Omnogov,103.333336,44.25,Saurischia,Dromaeosauridae
220099,Troodon,carnivorous,small theropod,2.0,85.8,70.6,Montana,-113.75,48.633301,Saurischia,Troodontidae
220162,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Utah,-109.205833,40.423611,Saurischia,Allosauridae
220163,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Utah,-109.205833,40.423611,Saurischia,Diplodocidae
225583,Apatosaurus,herbivorous,sauropod,21.0,150.8,145.0,Utah,-109.300552,40.441387,Saurischia,Diplodocidae
229333,Chindesaurus,carnivorous,small theropod,4.0,228.0,208.5,Texas,-101.247002,32.1721,Saurischia,Herrerasauridae
247238,Sauroposeidon,,,,125.0,100.5,Oklahoma,-96.099998,34.400002,Saurischia,
248041,Dromaeosaurus,carnivorous,small theropod,1.8,83.5,70.6,Montana,-109.297203,46.465099,Saurischia,Dromaeosauridae
248042,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.297203,46.465099,Saurischia,Dromaeosauridae
248043,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-109.297203,46.465099,Saurischia,Troodontidae
248044,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.297203,46.465099,Saurischia,Dromaeosauridae
248060,Dromaeosaurus,carnivorous,small theropod,1.8,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Dromaeosauridae
248061,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Dromaeosauridae
248062,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Troodontidae
248063,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Dromaeosauridae
255621,Dryptosaurus,carnivorous,large theropod,6.4,83.5,70.6,New Jersey,-74.300003,40.299999,Saurischia,
255936,Sphingopus,,,,247.2,237.0,Saône-et-Loire,4.432778,46.841946,Saurischia,Parachirotheriidae
256216,Mamenchisaurus,herbivorous,sauropod,22.0,163.5,157.3,Sichuan,104.516701,28.700001,Saurischia,Mamenchisauridae
256434,Eoraptor,carnivorous,small theropod,1.0,237.0,228.0,San Juan,-68.904999,-31.10111,Saurischia,
256435,Herrerasaurus,carnivorous,small theropod,3.0,237.0,228.0,San Juan,-68.904999,-31.10111,Saurischia,Herrerasauridae
256441,Herrerasaurus,carnivorous,small theropod,3.0,237.0,228.0,San Juan,-68.283333,-30.133333,Saurischia,Herrerasauridae
256442,Titanosaurus,,,,72.1,66.0,Madhya Pradesh,80.366699,23.35,Saurischia,
256680,Haestasaurus,,,,145.0,132.9,England,0.6,50.849998,Saurischia,
256913,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,New Mexico,-107.199997,35.700001,Saurischia,Dromaeosauridae
259970,Dilophosaurus,carnivorous,large theropod,6.0,201.3,190.8,Yunnan,102.591942,24.671667,Saurischia,
259971,Yunnanosaurus,omnivorous,sauropod,7.0,201.3,190.8,Yunnan,102.591942,24.671667,Saurischia,
259972,Carcharodontosaurus,carnivorous,large theropod,15.0,99.6,93.5,Al Jizah,29.116669,28.33333,Saurischia,Carcharodontosauridae
259976,Spinosaurus,carnivorous,large theropod,18.0,99.6,93.5,Matruh,28.914782,28.43112,Saurischia,Spinosauridae
260021,Carcharodontosaurus,carnivorous,large theropod,15.0,145.0,99.6,Illizi,9.566667,28.5,Saurischia,Carcharodontosauridae
260022,Elaphrosaurus,carnivorous,large theropod,6.2,145.0,99.6,Illizi,9.566667,28.5,Saurischia,
260025,Carcharodontosaurus,carnivorous,large theropod,15.0,145.0,99.6,Adrar,1.083333,27.033333,Saurischia,Carcharodontosauridae
260035,Elaphrosaurus,carnivorous,large theropod,6.2,112.03,93.5,Tataouine,10.283333,32.808334,Saurischia,
260040,Acrocanthosaurus,carnivorous,large theropod,12.0,125.0,113.0,Oklahoma,-94.76667,34.166668,Saurischia,Carcharodontosauridae
260041,Acrocanthosaurus,carnivorous,large theropod,12.0,125.0,113.0,Oklahoma,-95.806389,34.18,Saurischia,Carcharodontosauridae
260042,Acrocanthosaurus,carnivorous,large theropod,12.0,125.0,113.0,Oklahoma,-95.792221,34.18,Saurischia,Carcharodontosauridae
260589,Carcharodontosaurus,carnivorous,large theropod,15.0,112.03,93.5,Illizi,8.175278,28.15,Saurischia,Carcharodontosauridae
260591,Elaphrosaurus,carnivorous,large theropod,6.2,145.0,136.4,Agadez,8.011679,16.464561,Saurischia,
260593,Elaphrosaurus,carnivorous,large theropod,6.2,125.0,113.0,Agadez,9.509186,16.632231,Saurischia,
260595,Carcharodontosaurus,carnivorous,large theropod,15.0,125.0,113.0,Agadez,9.509186,16.632231,Saurischia,Carcharodontosauridae
260596,Carcharodontosaurus,carnivorous,large theropod,15.0,113.0,100.5,Agadez,10.222018,16.129169,Saurischia,Carcharodontosauridae
260598,Carcharodontosaurus,carnivorous,large theropod,15.0,113.0,100.5,Agadez,9.228752,16.449305,Saurischia,Carcharodontosauridae
260599,Elaphrosaurus,carnivorous,large theropod,6.2,145.0,93.5,Yafran,12.016667,31.950001,Saurischia,
260601,Carcharodontosaurus,carnivorous,large theropod,15.0,112.03,93.5,Tataouine,10.283333,32.950001,Saurischia,Carcharodontosauridae
260606,Elaphrosaurus,carnivorous,large theropod,6.2,145.0,136.4,Agadez,8.050767,16.341337,Saurischia,
260828,Bahariasaurus,,,,112.03,93.5,Tahoua,5.852992,16.79096,Saurischia,
260830,Aegyptosaurus,herbivorous,sauropod,15.0,112.03,93.5,Tahoua,5.852992,16.79096,Saurischia,
260832,Bahariasaurus,,,,105.3,93.5,Agadez,5.797784,17.708801,Saurischia,
260834,Carcharodontosaurus,carnivorous,large theropod,15.0,105.3,93.5,Agadez,5.797784,17.708801,Saurischia,Carcharodontosauridae
260835,Elaphrosaurus,carnivorous,large theropod,6.2,105.3,93.5,Agadez,5.797784,17.708801,Saurischia,
260836,Spinostropheus,,,,105.3,93.5,Agadez,5.797784,17.708801,Saurischia,
260838,Aegyptosaurus,herbivorous,sauropod,15.0,105.3,93.5,Agadez,5.797784,17.708801,Saurischia,
260845,Aegyptosaurus,herbivorous,sauropod,15.0,145.0,136.4,Agadez,6.932281,16.799726,Saurischia,
260899,Spinostropheus,,,,145.0,125.45,Agadez,6.381111,19.317499,Saurischia,
260900,Elaphrosaurus,carnivorous,large theropod,6.2,145.0,125.45,Agadez,6.381111,19.317499,Saurischia,
260901,Carcharodontosaurus,carnivorous,large theropod,15.0,145.0,125.45,Agadez,6.381111,19.317499,Saurischia,Carcharodontosauridae
261810,Agnosphitys,,,,208.5,201.3,England,-2.428333,51.623055,Saurischia,Guaibasauridae
261839,Segisaurus,carnivorous,small theropod,1.5,190.8,174.1,Arizona,-110.525002,36.780556,Saurischia,
261854,Saturnalia,,,,237.0,208.5,Rio Grande do Sul,-53.75,-29.666668,Saurischia,
262165,Carcharodontosaurus,carnivorous,large theropod,15.0,99.6,93.5,Er Rachida,-4.836939,30.505667,Saurischia,Carcharodontosauridae
262166,Deltadromeus,carnivorous,large theropod,8.1,99.6,93.5,Er Rachida,-4.836939,30.505667,Saurischia,
262167,Rebbachisaurus,herbivorous,sauropod,20.0,99.6,93.5,Er Rachida,-4.836939,30.505667,Saurischia,Rebbachisauridae
262179,Spinosaurus,carnivorous,large theropod,18.0,99.6,93.5,Er Rachida,-4.836939,30.505667,Saurischia,Spinosauridae
262347,Carcharodontosaurus,carnivorous,large theropod,15.0,145.0,93.5,Agadez,9.540314,17.971214,Saurischia,Carcharodontosauridae
262360,Elaphrosaurus,carnivorous,large theropod,6.2,113.0,100.5,Tataouine,10.333889,32.266109,Saurischia,
263808,Carnotaurus,carnivorous,large theropod,7.6,83.6,72.1,Chubut,-67.547501,-43.0,Saurischia,Abelisauridae
266833,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Montana,-112.966667,48.650002,Saurischia,Dromaeosauridae
266834,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-112.966667,48.650002,Saurischia,Troodontidae
276681,Lametasaurus,,,,72.1,66.0,Madhya Pradesh,79.972282,23.168694,Saurischia,Abelisauridae
276682,Indosuchus,carnivorous,large theropod,7.0,72.1,66.0,Madhya Pradesh,79.972282,23.168694,Saurischia,Abelisauridae
276683,Indosaurus,,,,72.1,66.0,Madhya Pradesh,79.972282,23.168694,Saurischia,Abelisauridae
276687,Laevisuchus,,,,72.1,66.0,Madhya Pradesh,79.972282,23.168694,Saurischia,Noasauridae
276698,Titanosaurus,,,,72.1,66.0,Madhya Pradesh,79.972282,23.168694,Saurischia,
276699,Jainosaurus,,,,72.1,66.0,Madhya Pradesh,79.972282,23.168694,Saurischia,
280100,Troodon,carnivorous,small theropod,2.0,70.6,66.0,Wyoming,-104.48333,43.049999,Saurischia,Troodontidae
280101,Tyrannosaurus,carnivorous,large theropod,12.0,70.6,66.0,Wyoming,-104.48333,43.049999,Saurischia,Tyrannosauridae
280102,Nanotyrannus,,,,70.6,66.0,Wyoming,-104.48333,43.049999,Saurischia,Tyrannosauridae
280103,Saurornitholestes,carnivorous,small theropod,1.5,70.6,66.0,Wyoming,-104.48333,43.049999,Saurischia,Dromaeosauridae
280104,Richardoestesia,carnivorous,small theropod,1.5,70.6,66.0,Wyoming,-104.48333,43.049999,Saurischia,Dromaeosauridae
280105,Dromaeosaurus,carnivorous,small theropod,1.8,70.6,66.0,Wyoming,-104.48333,43.049999,Saurischia,Dromaeosauridae
280572,Troodon,carnivorous,small theropod,2.0,83.6,72.1,Montana,-112.182777,47.8125,Saurischia,Troodontidae
280927,Duriatitan,,,,155.7,150.8,England,-2.465735,50.592449,Saurischia,
280983,Ornithopsis,,,,136.4,122.46,England,-1.423251,50.637585,Saurischia,
283057,Histriasaurus,,,,136.4,125.45,Istarska Zupanija,13.783611,45.040558,Saurischia,Rebbachisauridae
283828,Plateosaurus,herbivorous,sauropod,7.0,215.56,212.0,,-23.513889,71.827499,Saurischia,Plateosauridae
283860,Plateosaurus,herbivorous,sauropod,7.0,215.56,212.0,,-22.568611,71.383614,Saurischia,Plateosauridae
283992,Parvicursor,,,,83.5,70.6,Omnogov,101.51667,43.466667,Saurischia,
284027,Pantydraco,herbivorous,ornithopod,3.0,208.5,201.3,Wales,-3.373889,51.459999,Saurischia,
284147,Utahraptor,carnivorous,large theropod,6.0,129.4,125.0,Utah,-109.567902,38.826099,Saurischia,Dromaeosauridae
284613,Utahraptor,carnivorous,large theropod,6.0,125.45,122.46,Utah,-109.691666,38.718056,Saurischia,Dromaeosauridae
284615,Moabosaurus,,,,125.45,122.46,Utah,-109.691666,38.718056,Saurischia,
287916,Albertosaurus,carnivorous,large theropod,9.0,70.6,66.0,Wyoming,-104.366669,43.299999,Saurischia,Tyrannosauridae
287917,Paronychodon,carnivorous,large theropod,5.0,70.6,66.0,Wyoming,-104.366669,43.299999,Saurischia,Troodontidae
288584,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Texas,-103.51667,29.316668,Saurischia,Dromaeosauridae
288586,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Texas,-103.51667,29.316668,Saurischia,Dromaeosauridae
291021,Tyrannosaurus,carnivorous,large theropod,12.0,70.6,66.0,Colorado,-104.491669,40.386391,Saurischia,Tyrannosauridae
292785,Cetiosaurus,herbivorous,sauropod,18.0,171.6,167.7,England,-0.666667,52.633331,Saurischia,
292850,Epidendrosaurus,,,,164.7,161.2,Nei Mongol,119.238609,41.316387,Saurischia,
292868,Richardoestesia,carnivorous,small theropod,1.5,70.6,66.0,Hunedoara,22.883333,45.566666,Saurischia,Dromaeosauridae
292872,Paronychodon,carnivorous,large theropod,5.0,70.6,66.0,Hunedoara,22.883333,45.566666,Saurischia,Troodontidae
293757,Fuscinapedis,,,,99.6,93.5,Texas,-97.132774,33.00111,Saurischia,
294012,Mirischia,,,,113.0,100.5,Pernambuco,-40.566666,-7.55,Saurischia,Compsognathidae
294055,Irritator,carnivorous,large theropod,6.5,113.0,100.5,Ceará,-39.266666,-7.216667,Saurischia,Spinosauridae
295292,Mamenchisaurus,herbivorous,sauropod,22.0,163.5,157.3,Sichuan,104.133301,28.8333,Saurischia,Mamenchisauridae
295293,Xuanhanosaurus,,,,174.1,163.5,Sichuan,107.633331,31.416668,Saurischia,Metriacanthosauridae
295296,Shunosaurus,herbivorous,sauropod,10.0,163.5,157.3,Sichuan,104.852501,29.411388,Saurischia,
296444,Dystrophaeus,,,,161.2,155.7,Utah,-109.319168,38.122501,Saurischia,
296465,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Colorado,-105.224701,38.539501,Saurischia,Diplodocidae
297004,Coelurus,carnivorous,small theropod,1.8,125.45,122.46,Maryland,-76.88401,39.06189,Saurischia,
297120,Dubreuillosaurus,carnivorous,large theropod,,167.7,164.7,Basse-Normandie,0.4,49.416668,Saurischia,Megalosauridae
297282,Variraptor,,,,83.5,70.6,Provence-Alpes-Côte d'Azur,6.106141,43.606697,Saurischia,Dromaeosauridae
297286,Atsinganosaurus,,,,83.5,70.6,Provence-Alpes-Côte d'Azur,6.106141,43.606697,Saurischia,
297290,Variraptor,,,,83.5,66.0,Bouches-du-Rhône,5.565626,43.534836,Saurischia,Dromaeosauridae
297294,Tarascosaurus,,,,83.5,70.6,Provence-Alpes-Côte d'Azur,5.8,43.200001,Saurischia,Abelisauridae
297299,Ilokelesia,,,,99.6,89.8,Neuquén,-69.150002,-39.199722,Saurischia,Abelisauridae
297300,Quilmesaurus,,,,83.5,66.0,Río Negro,-67.423424,-39.504959,Saurischia,Abelisauridae
297301,Giganotosaurus,carnivorous,large theropod,12.5,99.6,93.5,Neuquén,-68.75,-39.516388,Saurischia,Carcharodontosauridae
297302,Aucasaurus,carnivorous,large theropod,5.0,83.5,70.6,Neuquén,-68.51667,-37.883331,Saurischia,Abelisauridae
297314,Sphingopus,,,,247.2,237.0,Saône-et-Loire,4.416667,46.900002,Saurischia,Parachirotheriidae
297555,Piatnitzkysaurus,carnivorous,large theropod,4.2,166.1,163.5,Chubut,-69.163521,-43.416218,Saurischia,Piatnitzkysauridae
297556,Patagosaurus,herbivorous,sauropod,18.0,166.1,163.5,Chubut,-69.163521,-43.416218,Saurischia,
297557,Volkheimeria,,,,166.1,163.5,Chubut,-69.163521,-43.416218,Saurischia,
297562,Patagosaurus,herbivorous,sauropod,18.0,166.1,163.5,Chubut,-69.187279,-43.358639,Saurischia,
297800,Skartopus,,,,99.6,93.5,Queensland,142.806671,-23.076111,Saurischia,
298934,Lirainosaurus,,,,83.5,70.6,Castilla y Leon,-2.634513,42.664555,Saurischia,
301076,Nuthetes,,,,145.0,140.2,England,-1.966667,50.599998,Saurischia,Dromaeosauridae
301109,Nuthetes,,,,145.0,140.2,England,-1.966667,50.599998,Saurischia,Dromaeosauridae
303971,Cetiosaurus,herbivorous,sauropod,18.0,167.7,164.7,England,-1.8,51.985001,Saurischia,
303972,Megalosaurus,carnivorous,large theropod,9.0,167.7,164.7,England,-1.8,51.985001,Saurischia,Megalosauridae
343501,Camarasaurus,herbivorous,sauropod,23.0,163.5,130.0,Sakha,117.613899,62.729698,Saurischia,
343541,Megalosauropus,,,,125.45,122.46,Lisboa,-9.383333,38.799999,Saurischia,
343720,Spinosaurus,carnivorous,large theropod,18.0,112.03,109.0,Tataouine,10.283333,33.150002,Saurischia,Spinosauridae
343812,Pycnonemosaurus,,,,93.9,83.6,Mato Grosso,-54.584496,-15.465495,Saurischia,Abelisauridae
343835,Abelisaurus,carnivorous,large theropod,9.0,83.5,70.6,Río Negro,-67.982765,-38.76173,Saurischia,Abelisauridae
343957,Majungasaurus,carnivorous,large theropod,6.0,72.1,66.0,Mahajanga,46.582222,-15.907778,Saurischia,Abelisauridae
343959,Traukutitan,,,,86.3,83.6,Neuquén,-68.709045,-38.49762,Saurischia,
343961,Aeolosaurus,,,,83.5,66.0,Río Negro,-67.491791,-39.29097,Saurischia,
360364,Zupaysaurus,,,,228.0,208.5,La Rioja,-68.066666,-29.85,Saurischia,
362179,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Alberta,-110.470001,49.119999,Saurischia,Dromaeosauridae
362355,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Alberta,-110.470001,49.119999,Saurischia,Dromaeosauridae
362356,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Alberta,-110.470001,49.119999,Saurischia,Troodontidae
362396,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Alberta,-110.470001,49.119999,Saurischia,Dromaeosauridae
362397,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Alberta,-110.470001,49.119999,Saurischia,Troodontidae
362681,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Alberta,-110.470001,49.119999,Saurischia,Dromaeosauridae
362795,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Alberta,-110.470001,49.119999,Saurischia,Dromaeosauridae
366438,Coelophysis,carnivorous,small theropod,2.0,201.3,190.8,Massachusetts,-72.574997,42.255554,Saurischia,
367089,Rajasaurus,,,,72.1,66.0,Gujarat,73.341942,23.057222,Saurischia,Abelisauridae
367436,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Alberta,-111.327057,50.809383,Saurischia,Troodontidae
367439,Deinonychus,carnivorous,small theropod,3.0,125.0,100.5,Montana,-108.162003,45.438999,Saurischia,Dromaeosauridae
367589,Vulcanodon,herbivorous,sauropod,6.5,201.3,199.3,Mashonaland North,28.275,-16.808332,Saurischia,
367656,Massospondylus,omnivorous,sauropod,4.0,201.3,174.1,Mashonaland West,30.1,-16.233334,Saurischia,Massospondylidae
367667,Coelophysis,carnivorous,small theropod,2.0,237.0,201.3,Matabeleland North,28.5833,-19.799999,Saurischia,
368057,Megalosauropus,,,,139.8,125.0,Western Australia,122.17778,-17.307777,Saurischia,
368114,Albertosaurus,carnivorous,large theropod,9.0,83.5,70.6,New Mexico,-108.226997,36.285702,Saurischia,Tyrannosauridae
372354,Coelophysis,carnivorous,small theropod,2.0,199.3,182.7,Arizona,-111.014168,35.694168,Saurischia,
372355,Coelophysis,carnivorous,small theropod,2.0,199.3,182.7,Arizona,-111.014168,35.694168,Saurischia,
372356,Coelophysis,carnivorous,small theropod,2.0,199.3,182.7,Arizona,-111.027779,35.679169,Saurischia,
372429,Compsognathus,carnivorous,small theropod,0.65,150.8,145.0,Provence-Alpes-Côte d'Azur,6.37315,43.705021,Saurischia,Compsognathidae
372542,Barapasaurus,herbivorous,sauropod,14.0,199.3,182.7,Maharashtra,79.966667,18.85,Saurischia,
372803,Mendozasaurus,,,,89.3,85.8,Mendoza,-69.375999,-37.061214,Saurischia,
372844,Albertosaurus,carnivorous,large theropod,9.0,83.6,72.1,Georgia,-85.026665,32.164165,Saurischia,Tyrannosauridae
372881,Camarasaurus,herbivorous,sauropod,23.0,157.3,152.1,Colorado,-108.639168,38.601391,Saurischia,
372891,Blikanasaurus,,,,228.0,201.3,Eastern Cape,27.616667,-30.566668,Saurischia,
372892,Massospondylus,omnivorous,sauropod,4.0,201.3,190.8,Matabeleland North,28.917299,-19.8939,Saurischia,Massospondylidae
372893,Thecodontosaurus,omnivorous,sauropod,2.5,201.3,190.8,Matabeleland North,28.917299,-19.893801,Saurischia,
379672,Piveteausaurus,,,,164.7,157.3,Basse-Normandie,-0.0667,49.299999,Saurischia,Megalosauridae
380063,Phuwiangosaurus,,,,129.4,113.0,Khon Kaen,102.25,16.700001,Saurischia,
380646,Phuwiangosaurus,,,,129.4,113.0,Khon Kaen,102.25,16.716667,Saurischia,
380647,Phuwiangosaurus,,,,129.4,113.0,Khon Kaen,102.25,16.683332,Saurischia,
380649,Phuwiangosaurus,,,,129.4,113.0,Khon Kaen,102.25,16.683332,Saurischia,
380651,Kinnareemimus,,,,129.4,113.0,Khon Kaen,102.25,16.683332,Saurischia,
380655,Phuwiangosaurus,,,,129.4,113.0,Khon Kaen,102.25,16.683332,Saurischia,
380882,Phuwiangosaurus,,,,129.4,113.0,Kalasin,103.574928,16.679863,Saurischia,
380887,Phuwiangosaurus,,,,129.4,113.0,Khon Kaen,102.25,16.700001,Saurischia,
